ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1,1,8/25/2022,8/25/2022,6.775333412,75.97585023,12.91953288,89.35766521,3.545,Vehicle breakdown on major highway,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Night,Twilight,Twilight,Day
A-2,2,3/16/2023,3/16/2023,28.196608,88.33842423,19.00511445,81.02706234,1.752,Minor traffic disruption due to road work,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Dawn,Day,Day,Sunset
A-3,3,1/29/2022,1/29/2022,32.27232536,85.50805491,31.02097647,89.16222181,2.913,Delays caused by roadblock or construction,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Night,Dawn,Day,Night
A-4,4,9/2/2024,9/2/2024,14.6171817,86.43484888,17.30979755,78.73524805,1.443,Pedestrian accident causing delay,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dawn,Twilight,Night,Dawn
A-5,2,6/4/2024,6/4/2024,31.47588041,91.34632822,18.4361084,69.91946955,4.609,Accident near busy intersection,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Twilight,Twilight
A-6,5,11/3/2021,11/3/2021,19.28144865,84.92245482,17.22188976,96.92244756,1.122,Construction detour causing congestion,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Twilight,Day,Sunset,Sunset
A-7,4,2/10/2020,2/10/2020,22.4025447,96.16127295,32.68417077,68.33294964,3.743,Vehicle breakdown on major highway,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Sunset,Day,Dawn,Twilight
A-8,5,11/2/2020,11/2/2020,34.29146302,93.24503853,15.25178853,86.52953535,3.24,Heavy traffic due to construction work,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Day,Dawn,Dawn,Night
A-9,2,7/27/2023,7/27/2023,33.21829758,95.46153391,8.655257014,82.09372344,0.811,Vehicle breakdown on major highway,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Night,Twilight,Night,Dawn
A-10,3,1/8/2021,1/8/2021,19.5811026,83.00969939,9.751130072,74.51622277,2.021,Vehicle breakdown on major highway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Day,Day,Dawn,Day
A-11,2,12/27/2020,12/27/2020,14.63279518,82.07702048,22.71625187,88.97722441,4.471,Construction detour causing congestion,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Sunset,Dawn,Sunset,Sunset
A-12,1,6/12/2020,6/12/2020,26.87430097,96.54079113,9.050954006,79.67601718,2.027,Vehicle accident with minor impact,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Night,Dawn,Sunset,Night
A-13,4,3/29/2022,3/29/2022,31.04868959,92.82303988,9.035170574,86.91220193,2.933,Minor traffic disruption due to road work,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Night,Sunset,Day,Night
A-14,1,4/8/2024,4/8/2024,36.54457416,75.69088869,30.30618866,81.19524265,2.404,Vehicle breakdown on major highway,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Twilight,Twilight,Day,Dawn
A-15,1,9/26/2024,9/26/2024,24.10950543,82.5826611,32.43431665,72.56554911,4.824,Vehicle accident with minor impact,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Twilight,Night,Twilight,Twilight
A-16,5,3/29/2022,3/29/2022,8.54148557,87.06382177,23.52203464,77.17472553,1.673,Accident near busy intersection,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Dawn,Day,Day,Sunset
A-17,5,8/17/2021,8/17/2021,36.87898988,70.12456091,12.60778368,75.69081203,4.7,Vehicle accident with minor impact,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Twilight,Twilight,Day,Twilight
A-18,1,2/27/2021,2/27/2021,35.10683012,71.89444232,9.578288783,71.10404335,2.99,Pedestrian accident causing delay,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Dawn,Day,Day,Sunset
A-19,1,9/24/2024,9/24/2024,6.109916362,90.36245747,25.7505147,75.59670261,3.836,Vehicle breakdown on major highway,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Dawn,Twilight,Twilight,Night
A-20,2,2/28/2024,2/28/2024,7.296694603,78.57489394,34.92572833,96.19369169,0.68,Accident near busy intersection,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Night,Night,Night,Sunset
